iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density
IND,Asia,India,10/24/20,7864811,50129,52894.286,118534,578,643.286,5644.295,35.976,37.96,85.068,0.415,0.462,0.85,0,0,0,0,0,0,0,0,1269479,101382564,72.759,0.911,1161221,0.833,0.0456,22,samples tested,0,0,0,0,0,0,0,0,0,0,0,0,0,64.35,1393409033,450.419
IND,Asia,India,2/26/21,11079979,16488,14656,156938,113,103.714,7951.706,11.833,10.518,112.629,0.081,0.074,1.13,0,0,0,0,0,0,0,0,831807,214661465,154.055,0.597,740943,0.532,0.0198,50.6,samples tested,13756940,11552857,2204083,0,689893,472428,0.99,0.83,0.16,0,339,265694,0.019,63.43,1393409033,450.419
IND,Asia,India,7/1/21,30458251,46617,46258,400312,853,1000.286,21858.801,33.455,33.198,287.29,0.612,0.718,0.82,0,0,0,0,0,0,0,0,1921450,412021494,295.693,1.379,2026975,1.455,0.0228,43.8,samples tested,334741649,275693081,59048568,0,5583510,4955375,24.02,19.79,4.24,0,3556,4005841,0.287,81.94,1393409033,450.419
IND,Asia,India,11/3/21,34321025,12885,12745.143,459652,461,466.571,24630.976,9.247,9.147,329.876,0.331,0.335,0.88,0,0,0,0,0,0,0,0,1068514,611278853,438.693,0.767,1153050,0.828,0.0111,90.5,samples tested,1075059421,738501950,336557471,0,5340775,5498716,77.15,53,24.15,0,3946,2153869,0.155,44.91,1393409033,450.419
IRN,Asia,Iran,5/12/20,110767,1481,1542.429,6733,48,56.143,1302.7,17.418,18.14,79.185,0.565,0.66,1.18,0,0,0,0,0,0,0,0,0,615477,7.238,0,13705,0.161,0.1125,8.9,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,50.93,85028760,49.831
IRN,Asia,Iran,9/14/20,404648,2619,2262.571,23313,156,129,4758.954,30.801,26.609,274.178,1.835,1.517,1.18,0,0,0,0,0,0,0,0,27283,3586848,42.184,0.321,25828,0.304,0.0876,11.4,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,60.19,85028760,49.831
IRN,Asia,Iran,1/17/21,1330411,6016,6286.429,56803,86,90.286,15646.6,70.753,73.933,668.045,1.011,1.062,0.99,0,0,0,0,0,0,0,0,0,8527307,100.287,0,53279,0.627,0.118,8.5,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,78.24,85028760,49.831
IRN,Asia,Iran,5/22/21,2823887,8005,12001.714,78381,187,249.714,33210.963,94.145,141.149,921.818,2.199,2.937,0.82,0,0,0,0,0,0,0,0,0,0,0,0,131917,1.551,0.091,11,tests performed,0,0,0,0,0,105808,0,0,0,0,1244,98044,0.115,72.22,85028760,49.831
IRN,Asia,Iran,9/24/21,5508885,15294,16124.571,118792,284,336.571,64788.49,179.869,189.637,1397.08,3.34,3.958,0.83,0,0,0,0,0,0,0,0,107749,31545337,370.996,1.267,109000,1.282,0.1479,6.8,tests performed,0,0,0,0,0,1045792,0,0,0,0,12299,872043,1.026,74.54,85028760,49.831
IRN,Asia,Iran,1/27/22,6293695,14285,8161.143,132333,30,25.857,74018.426,168.002,95.981,1556.332,0.353,0.304,2.29,0,0,0,0,0,0,0,0,0,0,0,0,91904,1.081,0.0888,11.3,tests performed,0,0,0,0,0,374925,0,0,0,0,4409,22655,0.027,0,85028760,49.831
ITA,Europe,Italy,3/21/20,53578,6557,4631.571,4825,793,483.429,887.531,108.618,76.723,79.927,13.136,8.008,1.63,2857,47.327,20565,340.664,0,0,17962,297.544,26336,233222,3.863,0.436,17722,0.294,0.2613,3.8,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,60367471,205.859
ITA,Europe,Italy,7/24/20,245590,252,231.857,35097,5,9.857,4068.251,4.174,3.841,581.389,0.083,0.163,1.11,46,0.762,759,12.573,0,0,420,6.957,53334,6468375,107.15,0.883,44874,0.743,0.0052,193.5,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,67.59,60367471,205.859
ITA,Europe,Italy,11/26/20,1509875,29001,28763.857,52850,822,711.429,25011.401,480.408,476.479,875.471,13.617,11.785,0.83,3846,63.71,37884,627.557,0,0,13252,219.522,232711,21188898,350.999,3.855,209196,3.465,0.1375,7.3,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41,60367471,205.859
ITA,Europe,Italy,3/31/21,3584899,23887,20576.714,109346,467,429.571,59384.615,395.693,340.858,1811.34,7.736,7.116,0.95,3710,61.457,32890,544.83,1773,29.37,12171,201.615,351065,49902497,826.645,5.815,306206,5.072,0.0672,14.9,tests performed,10528935,7253448,3275670,0,308382,253755,17.44,12.02,5.43,0,4204,181564,0.301,79.63,60367471,205.859
ITA,Europe,Italy,8/3/21,4363374,4841,5475.429,128115,27,17.143,72280.219,80.192,90.702,2122.252,0.447,0.284,1.18,258,4.274,2454,40.651,147,2.435,1722,28.525,209719,78004897,1292.168,3.474,206616,3.423,0.0265,37.7,tests performed,70365733,39141971,32617555,0,471221,469436,116.56,64.84,54.03,0,7776,161448,0.267,58.33,60367471,205.859
ITA,Europe,Italy,12/6/21,5118576,9494,14683.714,134287,92,78.286,84790.3,157.27,243.239,2224.493,1.524,1.297,1.19,743,12.308,6622,109.695,390,6.46,3619,59.95,301560,122636677,2031.503,4.995,574988,9.525,0.0255,39.2,tests performed,99711613,47616169,44350572,9263676,524925,456489,165.17,78.88,73.47,15.35,7562,33735,0.056,76.85,60367471,205.859
MAR,Africa,Morocco,5/8/20,5711,163,163.143,186,3,2.143,152.926,4.365,4.369,4.981,0.08,0.057,1.02,0,0,0,0,0,0,0,0,3379,59871,1.603,0.09,3266,0.087,0.05,20,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,93.52,37344787,80.08
MAR,Africa,Morocco,9/10/20,79767,1889,1844.571,1491,38,34,2135.961,50.583,49.393,39.925,1.018,0.91,1.18,0,0,0,0,0,0,0,0,22634,2160798,57.861,0.606,22811,0.611,0.0809,12.4,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52,37344787,80.08
MAR,Africa,Morocco,1/13/21,455055,1266,1139.143,7810,26,27.429,12185.235,33.9,30.503,209.132,0.696,0.734,0.79,0,0,0,0,0,0,0,0,18017,4649394,124.499,0.482,15431,0.413,0.0738,13.5,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,37344787,80.08
MAR,Africa,Morocco,5/18/21,515420,397,179.429,9105,1,3.143,13801.659,10.631,4.805,243.809,0.027,0.084,1.07,0,0,0,0,0,0,0,0,10688,5880654,157.469,0.286,6568,0.176,0.0273,36.6,people tested,11349546,6768161,4581385,0,348173,147414,30.39,18.12,12.27,0,3947,123510,0.331,71.3,37344787,80.08
MAR,Africa,Morocco,9/20/21,920374,693,2115.714,13958,48,48.571,24645.314,18.557,56.654,373.76,1.285,1.301,0.66,0,0,0,0,0,0,0,0,9629,8603089,230.369,0.258,20538,0.55,0.103,9.7,people tested,0,0,0,0,0,257471,0,0,0,0,6894,136343,0.365,64.81,37344787,80.08
MAR,Africa,Morocco,1/23/22,1098413,4435,7108.571,15132,19,22.286,29412.753,118.758,190.35,405.197,0.509,0.597,1,0,0,0,0,0,0,0,0,19263,10464460,280.212,0.516,29050,0.778,0.2447,4.1,people tested,0,0,0,0,0,61625,0,0,0,0,1650,3650,0.01,58.33,37344787,80.08
MEX,North America,Mexico,5/1/20,20739,1515,1123.857,1972,113,107.286,159.21,11.63,8.628,15.139,0.867,0.824,1.41,0,0,0,0,0,0,0,0,3272,112934,0.867,0.025,3828,0.029,0.4319,2.3,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41,130262220,66.444
MEX,North America,Mexico,9/3/20,616894,5937,5282.857,66329,513,533.571,4735.786,45.577,40.556,509.196,3.938,4.096,0.98,0,0,0,0,0,0,0,0,15724,1441245,11.064,0.121,13108,0.101,0.4269,2.3,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,74.54,130262220,66.444
MEX,North America,Mexico,1/6/21,1479835,13345,9414.286,129987,1165,727.143,11360.431,102.447,72.272,997.887,8.943,5.582,1.09,0,0,0,0,0,0,0,0,43517,3622136,27.806,0.334,27523,0.211,0.4323,2.3,people tested,53185,53185,0,0,4949,4027,0.04,0.04,0,0,31,4027,0.003,71.76,130262220,66.444
MEX,North America,Mexico,5/11/21,2368393,1897,2204.143,219323,234,226.143,18181.734,14.563,16.921,1683.704,1.796,1.736,0.94,0,0,0,0,0,0,0,0,18911,6469917,49.668,0.145,13058,0.1,0.16,6.3,people tested,21589272,14368460,9500000,0,0,321291,16.57,11.03,7.29,0,2466,197746,0.152,44.44,130262220,66.444
MEX,North America,Mexico,9/13/21,3516043,4161,11790.286,267969,221,642.714,26992.04,31.943,90.512,2057.151,1.697,4.934,0.89,0,0,0,0,0,0,0,0,39620,9967450,76.518,0.304,30090,0.231,0.3409,2.9,people tested,92080595,60921470,39319931,0,360204,693697,70.69,46.77,30.19,0,5325,265941,0.204,35.19,130262220,66.444
MEX,North America,Mexico,1/16/22,4368314,19132,34703.714,301410,76,153.714,33534.773,146.873,266.414,2313.871,0.583,1.18,1.55,0,0,0,0,0,0,0,0,25655,12937083,99.316,0.197,78299,0.601,0.6492,1.5,people tested,155882479,82898265,75617241,0,462091,562477,119.67,63.64,58.05,0,4318,70082,0.054,35.19,130262220,66.444
PER,South America,Peru,1/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33359415,25.129
PER,South America,Peru,5/14/20,80604,4298,3154,11277,517,495.429,2416.229,128.839,94.546,338.045,15.498,14.851,1.31,0,0,0,0,0,0,0,0,3594,108515,3.253,0.108,3143,0.094,0.336,3,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,92.59,33359415,25.129
PER,South America,Peru,9/16/20,738020,4160,5975.714,78963,283,293.857,22123.29,124.702,179.131,2367.038,8.483,8.809,0.96,0,0,0,0,0,0,0,0,8217,826977,24.79,0.246,6947,0.208,0.124,8.1,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,33359415,25.129
PER,South America,Peru,1/19/21,1060567,0,3316.714,97717,392,319.143,31792.134,0,99.424,2929.218,11.751,9.567,1.32,0,0,0,0,0,0,0,0,22284,2079266,62.329,0.668,18925,0.567,0.192,5.2,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,61.11,33359415,25.129
PER,South America,Peru,5/24/21,1925289,0,5176.714,180818,213,438.143,57713.512,0,155.18,5420.299,6.385,13.134,0.96,0,0,0,0,0,0,0,0,17047,4058871,121.671,0.511,12914,0.387,0.099,10.1,tests performed,3581593,2443220,1138357,16,121903,105915,10.74,7.32,3.41,0,3175,70521,0.211,75.93,33359415,25.129
PER,South America,Peru,9/26/21,2173034,773,860.857,199292,64,32.286,65140.051,23.172,25.806,5974.086,1.918,0.968,1,0,0,0,0,0,0,0,0,3744,5470322,163.981,0.112,11964,0.359,0.04,25,tests performed,26793523,16100250,10692942,331,327633,230552,80.32,48.26,32.05,0,6911,112616,0.338,66.67,33359415,25.129
PER,South America,Peru,1/29/22,3160732,40331,38073.857,205112,172,138.714,94747.825,1208.984,1141.323,6148.549,5.156,4.158,1.33,0,0,0,0,0,0,0,0,14330,7776558,233.114,0.43,19404,0.582,0.362,2.8,tests performed,55623010,25045488,22834724,7742798,115269,113474,166.74,75.08,68.45,23.21,3402,11223,0.034,0,33359415,25.129
PHL,Asia,Philippines,3/1/20,3,0,0,1,0,0,0.027,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,111046910,351.873
PHL,Asia,Philippines,7/4/20,41830,1494,1003.857,1290,10,7.714,376.688,13.454,9.04,11.617,0.09,0.069,1.64,0,0,0,0,0,0,0,0,20868,773290,6.964,0.188,17425,0.157,0.0576,17.4,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,111046910,351.873
PHL,Asia,Philippines,11/6/20,391809,2084,1839.429,7461,52,39.429,3528.32,18.767,16.564,67.188,0.468,0.355,0.98,0,0,0,0,0,0,0,0,37773,4752970,42.801,0.34,29264,0.264,0.0629,15.9,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,68.98,111046910,351.873
PHL,Asia,Philippines,3/11/21,607048,3740,3197.286,12608,63,29.143,5466.591,33.679,28.792,113.538,0.567,0.262,1.36,0,0,0,0,0,0,0,0,44936,8738322,78.69,0.405,38264,0.345,0.0836,12,people tested,0,0,0,0,0,18690,0,0,0,0,168,18690,0.017,67.13,111046910,351.873
PHL,Asia,Philippines,7/14/21,1485457,3797,5049.571,26232,140,110.429,13376.842,34.193,45.472,236.224,1.261,0.994,0.95,0,0,0,0,0,0,0,0,56158,14999775,135.076,0.506,48394,0.436,0.1043,9.6,people tested,0,0,0,0,0,225567,0,0,0,0,2031,98710,0.089,71.76,111046910,351.873
PHL,Asia,Philippines,11/16/21,2819341,830,1806.714,45808,99,177.286,25388.739,7.474,16.27,412.51,0.892,1.596,0.66,0,0,0,0,0,0,0,0,43617,22335686,201.137,0.393,40970,0.369,0.0441,22.7,people tested,71680132,0,0,0,1002361,845108,64.55,0,0,0,7610,633250,0.57,33.33,111046910,351.873
RUS,Europe,Russia,4/24/20,68622,5849,5230.571,615,60,48.857,470.297,40.086,35.847,4.215,0.411,0.335,1.42,0,0,0,0,0,0,0,0,169500,2721500,18.652,1.162,127087,0.871,0.0412,24.3,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,145912022,8.823
RUS,Europe,Russia,8/27/20,972972,4675,4734.143,16758,120,100,6668.21,32.04,32.445,114.85,0.822,0.685,0.98,0,0,0,0,0,0,0,0,327964,35751747,245.023,2.248,276806,1.897,0.0171,58.5,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17,145912022,8.823
RUS,Europe,Russia,12/30/20,3100018,26095,27831.714,55692,585,554.571,21245.802,178.841,190.743,381.682,4.009,3.801,0.97,0,0,0,0,0,0,0,0,445015,90648889,621.257,3.05,438669,3.006,0.0634,15.8,tests performed,0,0,0,0,0,68000,0,0,0,0,466,68000,0.047,47.69,145912022,8.823
RUS,Europe,Russia,5/4/21,4784497,7653,8463.571,109670,329,357.571,32790.286,52.449,58.005,751.617,2.255,2.451,0.97,0,0,0,0,0,0,0,0,174309,130413043,893.779,1.195,268900,1.843,0.0315,31.8,tests performed,20168443,12478994,7689449,0,57889,230197,13.82,8.55,5.27,0,1578,125708,0.086,36.57,145912022,8.823
RUS,Europe,Russia,9/6/21,6929862,17487,18077,184672,776,777,47493.427,119.846,123.89,1265.639,5.318,5.325,0.97,0,0,0,0,0,0,0,0,0,0,0,0,396800,2.719,0.0456,22,tests performed,82918108,44549535,38368573,0,114210,415154,56.83,30.53,26.3,0,2845,127153,0.087,52.31,145912022,8.823
RUS,Europe,Russia,1/9/22,10470006,16111,15986.714,309787,746,786.143,71755.609,110.416,109.564,2123.108,5.113,5.388,0.91,0,0,0,0,0,0,0,0,0,243590182,1669.432,0,293338,2.01,0.0545,18.3,tests performed,147390352,74240817,67260462,7505426,201226,94470,101.01,50.88,46.1,5.14,647,57195,0.039,48.61,145912022,8.823
TUN,Africa,Tunisia,3/20/20,54,15,5.429,1,0,0.143,4.524,1.257,0.455,0.084,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,77.78,11935764,74.228
TUN,Africa,Tunisia,7/23/20,1406,12,11.286,50,0,0,117.797,1.005,0.946,4.189,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,26.85,11935764,74.228
