iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density
CHL,South America,Chile,4/8/20,5740,430,371.857,48,5,4.571,298.766,22.381,19.355,2.498,0.26,0.238,1.35,362,18.842,0,0,0,0,644,33.52,3269,52849,2.751,0.17,3193,0.166,0.1165,8.6,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,73.15,19212362,24.282
CHL,South America,Chile,8/11/20,376616,1572,1950.571,10178,39,61.857,19602.795,81.822,101.527,529.763,2.03,3.22,0.96,1268,65.999,0,0,376,19.571,1474,76.721,22249,1881593,97.937,1.158,24743,1.288,0.0788,12.7,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,81.94,19212362,24.282
CHL,South America,Chile,12/14/20,573830,1911,1669.714,15931,45,38.286,29867.749,99.467,86.908,829.206,2.342,1.993,1.13,628,32.687,0,0,239,12.44,1058,55.069,46876,5814212,302.629,2.44,35103,1.827,0.0476,21,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,73.61,19212362,24.282
CHL,South America,Chile,4/18/21,1124718,7370,6888.429,25177,122,118.714,58541.37,383.607,358.541,1310.458,6.35,6.179,0.98,3344,174.055,0,0,1563,81.354,4138,215.382,74989,12345855,642.6,3.903,65128,3.39,0.1058,9.5,tests performed,13190688,7745749,5444939,0,2643,161283,68.66,40.32,28.34,0,8395,51733,0.269,81.94,19212362,24.282
CHL,South America,Chile,8/21/21,1633153,712,694.286,36605,39,39.143,85005.321,37.059,36.137,1905.284,2.03,2.037,0.82,866,45.075,0,0,213,11.087,649,33.78,60466,19543126,1017.216,3.147,53041,2.761,0.0131,76.4,tests performed,27984696,14304416,13288684,911075,6462,139507,145.66,74.45,69.17,4.74,7261,12492,0.065,63.43,19212362,24.282
CHL,South America,Chile,12/24/21,1797631,1399,1217.429,38984,30,24.571,93566.371,72.818,63.367,2029.11,1.561,1.279,0.93,555,28.888,0,0,145,7.547,569,29.616,58606,26777576,1393.768,3.05,55622,2.895,0.0219,45.7,tests performed,43424362,17224416,16473355,10300333,20028,66936,226.02,89.65,85.74,53.61,3484,9626,0.05,35.65,19212362,24.282
COL,South America,Colombia,5/11/20,11613,550,520,479,16,17.286,226.525,10.728,10.143,9.343,0.312,0.337,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,87.04,51265841,44.223
COL,South America,Colombia,9/13/20,716319,7355,7114,22924,190,216,13972.637,143.468,138.767,447.159,3.706,4.213,0.9,0,0,0,0,0,0,0,0,31027,3152624,61.496,0.605,32737,0.639,0.242,4.1,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,51265841,44.223
COL,South America,Colombia,1/16/21,1891034,20855,17095.857,48256,388,353.143,36886.823,406.801,333.475,941.29,7.568,6.888,1.14,0,0,0,0,0,0,0,0,70645,9044950,176.432,1.378,64382,1.256,0.283,3.5,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,81.02,51265841,44.223
COL,South America,Colombia,5/21/21,3192050,14838,15370,83719,486,495.571,62264.657,289.432,299.81,1633.037,9.48,9.667,1.04,0,0,0,0,0,0,0,0,70423,16174084,315.494,1.374,61807,1.206,0.271,3.7,tests performed,0,0,0,0,0,130380,0,0,0,0,2543,84458,0.165,62.96,51265841,44.223
